idUsuario,idDron,distancia
0,8,0.00270647372054834
1,8,0.0046991488591022
2,8,0.00395175910196898
3,5,0.00166628328924186
4,7,0.0019884164553728
5,7,0.00325737624477182
6,0,0.00157689568456497
7,3,0.00855462448036162
8,0,0.00302352443350122
9,1,0.0111155476698178
10,4,0.00820975639102345
11,6,0.0150872429555597
12,4,0.0123703718618315
13,1,0.00906766783687948
14,6,0.00588124136556401
15,2,0.00679865427860617
16,6,0.0105047037083398
17,2,0.00962352326333796
18,8,0.00151604749265673
19,1,0.00263319197932844
20,8,0.0102813423248098
21,6,30.0007218304627
22,6,0.0135656662202784
23,5,0.0147819958057098
24,5,0.0163543327592429
25,5,0.0319411959700944
26,6,0.0156800573978515
27,2,0.0133170342043569
28,2,0.0164932774183878
29,2,0.00793614515995861
30,4,0.0184353790305503
31,4,0.00967192328340237
32,3,0.0186773258257186
33,3,0.00380127610152291
34,3,0.00880527114857738
35,4,0.0203786677680356
36,1,0.00807694249081589
37,4,0.0277985485232588
38,1,0.0207976777549833
39,0,0.0085460751225363
40,7,0.0119895037428594
41,6,0.0206097185812871
42,8,0.00257093368253729
43,8,0.00363419867371088
44,7,0.00239269722280194
45,5,0.00268307659227539
46,5,0.00547320746911652
47,5,0.00293204706646848
48,8,0.0113983244382649
49,7,0.00534509120596217
50,6,0.0130130127180458
51,0,0.00213887821065415
52,0,0.00668644150501546
53,0,0.0146521329505329
54,0,0.00266542679509225
55,0,0.00711208127062825
56,3,0.00641330647950043
57,0,0.00577187144694459
58,0,0.0136062669384383
59,0,0.0141322326615433
60,3,0.0305629334325095
61,0,0.0131455391673401
62,4,0.00993861660393301
63,4,0.0133772381304986
64,4,0.0164859485623392
65,8,0.00961232542104022
66,8,0.0111743008729837
67,8,0.0102918851528772
68,8,0.00305262182393708
69,8,0.00226773014267449
70,8,0.0073867787295954
71,8,0.010081988891087
72,8,0.0124966635547242
73,8,0.00129201393181337
74,7,0.0120040201599296
75,6,0.0128015389699835
76,8,0.00572849893078398
77,5,0.00781108187128709
78,4,0.00119854077944605
79,4,0.00141286942071791
80,0,0.0324173302417106
81,0,0.0237594717954773
82,0,0.0147267681451216
83,3,0.0354819221576276
84,0,0.0325885194508752
85,1,0.0145332308864891
86,0,0.00468215762229127
87,3,0.00595242807600377
88,0,0.00192052076271049
89,0,0.00586685605755068
90,0,0.0033964981966735
91,0,0.00214709105535813
92,0,0.00127059041394187
93,1,0.00367200217864831
94,1,0.0102233115965415
95,1,0.0128964219844116
96,2,0.0120775038811829
97,5,0.00323681942653587
98,5,0.00470026594992352
99,2,0.00661511148810096
