idUsuario,idDron,distancia
0,18,0.0121825202647054
1,7,0.00427524092888433
2,13,0.00578047212604815
3,5,0.00902844643335714
4,11,0.00307749914703473
5,9,0.00751308525174567
6,13,0.000831505862877436
7,13,0.00471363575173166
8,14,0.00392531527396184
9,2,0.00360636118545943
10,15,0.0179358719052116
11,16,0.00239360188836639
12,3,0.00714223634445175
13,13,0.00368796108981759
14,5,0.00405583086432364
15,0,0.00417675184802558
16,10,0.0179547815636948
17,13,0.00552048711618964
18,15,0.00345696282884355
19,15,0.00584503019667073
