idUsuario,idDron,distancia
0,18,0.0121825202647054
1,7,0.00427524092888433
2,13,0.00578047212604815
3,5,0.00902844643335714
4,11,0.00307749914703473
5,9,0.00751308525174567
6,13,0.000831505862877436
7,13,0.00471363575173166
8,14,0.00392531527396184
9,2,0.00360636118545943
10,15,0.0179358719052116
11,16,0.00239360188836639
12,3,0.00714223634445175
13,13,0.00368796108981759
14,5,0.00405583086432364
15,0,0.00417675184802558
16,10,0.0179547815636948
17,13,0.00552048711618964
18,15,0.00345696282884355
19,15,0.00584503019667073
20,15,0.0157882569335567
21,15,0.00718155693426106
22,15,0.00622895858069895
23,18,0.0110889051758951
24,14,0.00948864294828068
25,4,0.00655775853474689
26,8,0.0083662544187947
27,10,0.00342260748553111
28,15,0.00664010255945364
29,15,0.0145547380601673
30,13,0.0115277836551558
31,3,0.00555869085306861
32,15,0.0171903410670077
33,14,0.000857201259915245
34,34,0.00523939204488438
35,36,0.00454531770066627
36,29,0.00446170662415283
37,23,0.00431462362205471
38,32,0.00822926369731817
39,33,0.00506435583267629
